Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
2011-11-06 13:45:05,43.3375,38.6065,23.49,0.57,Md,2.5,Tuşba (Van),145583
2011-11-05 22:26:23,43.365,38.7537,6.95,0.33,Ml,2.5,Tuşba (Van),145438
2011-11-05 22:14:03,43.185,38.729,7.0,0.6,Ml,2.5,Van Gölü - [02.97 km] Tuşba (Van),145435
2011-10-30 23:39:27,43.2212,38.627,7.0,0.65,Ml,2.5,Tuşba (Van),143978
2011-11-06 13:16:39,43.4852,38.8327,7.0,0.95,Md,2.5,Tuşba (Van),145579
2011-10-31 00:15:33,43.5585,38.963,11.4,0.71,Ml,2.5,Van Gölü - [04.14 km] Erciş (Van),143987
2011-11-05 21:41:10,43.4932,38.8185,7.0,0.67,Ml,2.5,Tuşba (Van),145431
2011-11-05 21:37:18,43.486,38.7992,7.1,0.35,Ml,2.5,Tuşba (Van),145430
2011-10-31 00:36:56,43.072,38.7078,7.0,0.7,Ml,2.5,Van Gölü - [10.72 km] Tuşba (Van),143992
2011-10-31 00:59:25,43.5118,38.6533,7.0,0.83,Ml,2.5,Tuşba (Van),143996
2011-10-31 06:20:32,43.501,38.9868,11.41,0.67,Ml,2.5,Van Gölü - [03.20 km] Erciş (Van),144062
2011-10-31 14:25:07,43.5032,38.7718,7.0,0.65,Md,2.5,Tuşba (Van),144108
2011-11-05 19:28:07,43.506,38.7443,7.0,0.28,Ml,2.5,Tuşba (Van),145405
2011-11-10 12:26:27,43.5952,38.7893,7.02,0.55,Ml,2.5,İpekyolu (Van),146461
2011-11-05 19:11:35,43.0615,38.7372,6.88,0.25,Ml,2.5,Van Gölü - [12.93 km] Tuşba (Van),145398
2011-11-05 18:40:34,43.1738,38.6765,7.0,0.22,Ml,2.5,Tuşba (Van),145395
2011-11-05 18:18:11,43.3897,38.8063,7.0,0.42,Ml,2.5,Tuşba (Van),145389
2011-11-05 17:23:56,43.0005,38.5947,7.0,0.21,Ml,2.5,Van Gölü - [18.75 km] Tuşba (Van),145378
2011-11-05 16:46:22,43.254,37.8555,7.0,0.66,Md,2.5,Çatak (Van),145371
2011-11-05 16:00:32,43.3943,38.787,7.0,0.86,Ml,2.5,Tuşba (Van),145364
2011-11-10 12:04:04,43.5173,38.9395,3.35,0.34,Md,2.5,Van Gölü - [06.47 km] Erciş (Van),146459
2011-11-07 06:08:11,43.509,38.6715,7.0,0.67,Ml,2.5,Tuşba (Van),145785
2011-11-07 05:49:37,43.4125,38.6683,7.0,0.91,Ml,2.5,Tuşba (Van),145784
2011-11-04 14:45:28,43.5397,38.9968,7.57,0.39,Md,2.5,Erciş (Van),145089
2011-11-04 14:17:31,43.5085,38.893,7.0,0.55,Md,2.5,Van Gölü - [03.28 km] Tuşba (Van),145083
2011-11-08 03:24:42,43.498,38.9788,11.22,0.29,Md,2.5,Van Gölü - [03.81 km] Erciş (Van),145959
2011-11-08 00:55:25,43.4357,38.8567,7.0,0.36,Md,2.5,Tuşba (Van),145948
2011-11-08 08:23:59,43.1313,38.648,7.07,0.2,Md,2.5,Van Gölü - [05.94 km] Tuşba (Van),145983
2011-11-07 16:01:16,43.68,38.6775,7.0,0.6,Ml,2.5,İpekyolu (Van),145868
2011-11-07 15:12:33,43.3115,38.5757,24.87,0.6,Ml,2.5,Tuşba (Van),145856
2011-11-09 00:34:11,43.3867,38.8327,7.0,0.85,Ml,2.5,Van Gölü - [01.60 km] Tuşba (Van),146143
2011-11-09 00:10:44,43.0147,38.578,7.0,0.69,Ml,2.5,Van Gölü - [19.61 km] Gevaş (Van),146141
2011-11-08 23:40:32,43.4357,38.8008,7.0,0.75,Md,2.5,Tuşba (Van),146136
2011-11-08 23:23:09,39.5598,38.6058,7.0,0.5,Md,2.5,Merkez (Elazığ),146133
2011-11-08 22:34:00,43.0847,38.6948,7.0,0.25,Md,2.5,Van Gölü - [09.26 km] Tuşba (Van),146122
2011-11-08 21:41:00,43.1928,38.6577,7.0,0.33,Ml,2.5,Tuşba (Van),146114
2011-11-08 21:22:14,43.3752,38.821,7.0,0.1,Ml,2.5,Tuşba (Van),146110
2011-11-01 17:06:01,43.2152,38.7807,6.99,0.22,Ml,2.5,Van Gölü - [03.51 km] Tuşba (Van),144371
2011-11-04 06:31:55,43.2908,38.8033,6.96,0.32,Md,2.5,Van Gölü - [02.56 km] Tuşba (Van),144998
2011-11-04 12:07:09,43.8203,39.048,7.0,0.13,Ml,2.5,Muradiye (Van),145053
2011-11-04 12:22:42,43.1567,38.6968,7.0,0.58,Ml,2.5,Van Gölü - [03.55 km] Tuşba (Van),145056
2011-11-02 19:44:23,43.4022,38.7557,7.0,0.61,Ml,2.5,Tuşba (Van),144635
2011-11-02 01:21:19,43.6575,38.985,6.75,0.51,Md,2.4,Muradiye (Van),144467
